uniqid_eco4,NWALT12_11_eco4,NWALT12_12_eco4,NWALT12_21_eco4,NWALT12_22_eco4,NWALT12_23_eco4,NWALT12_24_eco4,NWALT12_25_eco4,NWALT12_26_eco4,NWALT12_27_eco4,NWALT12_31_eco4,NWALT12_32_eco4,NWALT12_33_eco4,NWALT12_41_eco4,NWALT12_43_eco4,NWALT12_44_eco4,NWALT12_45_eco4,NWALT12_46_eco4,NWALT12_50_eco4,NWALT12_60_eco4,NWALT12_9999_eco4
768,0.64,0.06,0.93,0.59,0.55,0.14,0.47,2.10,0.82,0.27,9.03,0.01,0.17,21.61,31.97,1.30,0.60,28.32,0.40,0.00
769,1.42,0.87,0.39,0.12,0.05,0.06,0.17,0.60,0.51,0.43,8.28,0.01,0.03,7.15,10.12,1.22,0.82,66.45,1.30,0.00
770,1.88,0.06,1.46,1.23,0.83,0.49,1.98,3.45,0.98,1.82,5.73,0.01,0.08,5.76,38.32,1.52,1.25,32.90,0.26,0.00
771,0.23,0.02,1.15,0.64,0.71,0.13,0.33,2.77,0.90,0.41,3.39,0.01,0.01,35.83,32.05,1.06,0.50,19.83,0.03,0.00
772,4.37,0.40,0.39,0.21,0.11,0.08,0.06,0.98,0.55,0.69,5.95,0.01,0.03,3.99,14.53,1.25,1.20,65.01,0.18,0.00
773,3.17,0.93,0.82,0.71,0.56,0.17,0.31,2.88,1.17,0.26,3.76,0.02,0.08,11.95,32.77,1.26,1.28,37.87,0.01,0.00
774,2.16,0.04,1.21,1.13,0.47,0.31,1.10,3.71,0.93,2.10,3.59,0.02,0.05,3.26,29.78,1.33,0.89,47.85,0.08,0.00
775,1.43,0.07,1.51,1.38,0.71,0.45,1.18,6.70,1.33,0.81,8.59,0.00,0.15,5.11,39.19,0.66,1.11,29.16,0.45,0.00
776,0.54,1.23,0.59,0.30,0.05,0.11,0.00,3.03,0.58,1.15,15.48,0.00,0.05,2.16,30.57,1.32,0.49,42.36,0.00,0.00
777,0.57,0.01,0.57,0.11,0.03,0.04,0.05,0.29,0.85,0.01,1.56,0.00,0.02,1.44,34.00,1.97,2.73,55.72,0.02,0.00
778,0.77,0.00,1.97,1.88,1.02,0.66,3.28,2.91,1.28,0.61,1.69,0.01,0.05,5.12,64.99,1.04,0.38,12.20,0.15,0.00
