uniqid_huc10,coa_wheat_bushels_1969_huc10,coa_wheat_bushels_1974_huc10,coa_wheat_bushels_1978_huc10,coa_wheat_bushels_1982_huc10,coa_wheat_bushels_1987_huc10,coa_wheat_bushels_1992_huc10,coa_wheat_bushels_1997_huc10,coa_wheat_bushels_2002_huc10,coa_wheat_bushels_2007_huc10,coa_wheat_bushels_2012_huc10
7122,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
7123,1.4,3.2,2.8,6.7,5.7,8.3,12.1,8.9,7.2,6.7
7124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7125,98.0,227.6,343.5,639.6,445.8,562.2,712.1,248.7,307.7,343.0
7126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7128,451.0,965.0,989.3,842.2,1030.3,1141.8,924.0,394.2,464.8,307.9
7129,41.2,92.8,88.9,78.3,99.8,112.1,84.9,32.6,41.8,25.9
7130,4.0,2.7,1.1,0.7,0.3,0.3,0.4,0.4,0.4,0.3
7131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7132,4.4,8.6,5.0,4.9,3.2,3.5,4.1,16.4,28.3,54.1
7133,0.1,0.2,0.3,0.9,0.2,0.2,0.2,0.2,0.2,0.1
7134,0.3,0.3,0.6,0.6,0.5,0.2,0.3,1.0,0.6,0.7
7135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7136,1.9,12.8,15.2,21.4,10.8,18.3,28.6,27.9,27.9,34.6
7137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7139,690.3,1228.5,1603.5,1766.5,1770.4,2116.5,1690.3,1345.1,1326.7,1294.4
7140,2.7,7.5,0.0,0.0,0.0,9.3,0.0,0.0,0.0,0.0
7141,0.0,0.0,0.0,0.0,0.0,0.6,0.9,0.0,0.0,0.0
7142,164.5,413.4,489.1,1152.8,989.9,1109.3,818.7,674.9,404.6,677.3
7143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7144,118.8,213.1,201.9,274.5,277.9,281.1,153.1,232.4,251.8,182.6
7145,94.3,343.5,741.7,763.3,458.1,480.7,731.3,264.7,340.2,518.2
7146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7147,32.8,86.7,127.4,65.6,67.5,51.9,26.6,13.8,23.4,18.2
7148,91.8,248.4,227.0,387.3,273.0,459.7,575.8,304.5,329.3,475.5
7149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7151,6.9,15.8,10.8,20.5,18.9,7.8,8.9,8.7,8.7,6.6
7152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7155,2.0,2.3,2.0,1.6,2.0,1.5,1.5,0.0,0.0,0.0
7156,33.3,77.8,89.2,148.5,103.5,141.3,216.2,114.6,113.8,146.6
7157,0.5,1.0,0.9,0.2,0.5,0.0,0.0,0.0,0.0,0.0
7158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7160,142.1,166.4,34.1,960.1,382.5,253.8,354.5,496.6,365.9,705.0
7161,259.6,431.4,931.6,1545.5,1225.6,1402.9,1656.5,1310.0,1136.3,1051.6
7162,52.4,34.9,14.2,7.8,3.6,3.7,4.6,4.8,4.8,3.0
7163,151.3,197.8,89.3,1091.0,474.3,341.9,413.1,572.0,412.0,914.1
7164,149.9,338.1,633.9,850.1,586.0,741.3,752.5,165.2,177.3,562.2
7165,43.1,43.5,93.5,96.9,90.0,25.6,46.2,36.2,22.7,41.5
7166,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0
7167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7168,8.9,63.0,56.9,127.7,48.5,65.0,35.6,17.7,12.5,127.8
7169,0.0,0.0,0.0,0.2,0.4,0.4,0.1,0.1,0.1,0.1
7170,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7171,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7173,0.5,0.2,0.8,2.2,1.2,1.0,0.8,0.3,0.2,0.3
7174,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1
7175,16.8,36.7,20.0,9.4,12.1,10.7,17.5,18.9,26.6,69.8
7176,53.2,93.8,83.1,598.5,561.6,701.9,482.5,280.7,201.6,316.4
7177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7178,3.8,10.3,12.9,42.3,11.0,11.5,12.4,6.1,6.1,5.6
7179,11.1,8.3,8.0,4.0,7.8,13.7,11.4,1.3,1.3,4.7
7180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7182,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7183,27.9,19.2,16.4,21.5,17.1,1.0,2.5,2.2,0.0,0.0
7184,0.0,9.4,14.5,23.1,96.5,28.2,5.5,6.1,6.1,6.3
7185,12.1,41.7,62.0,39.6,65.3,69.9,25.6,24.9,34.2,9.8
7186,0.9,1.0,0.9,0.9,1.1,1.3,1.3,0.0,0.0,1.2
7187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7188,2.4,9.2,0.0,0.0,0.0,6.7,0.0,6.2,0.0,8.2
7189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7190,1.1,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
