uniqid_huc10,malat_high1992_huc10,malat_high1997_huc10,malat_high2002_huc10,malat_high2007_huc10,malat_high2012_huc10,malat_low1992_huc10,malat_low1997_huc10,malat_low2002_huc10,malat_low2007_huc10,malat_low2012_huc10
1737,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1738,0.0518,0.6562,0.2241,0.1364,0.0104,0.0055,0.2351,0.0009,0.0000,0.0104
1739,0.0001,0.0011,0.0032,0.0008,0.0001,0.0001,0.0000,0.0004,0.0006,0.0000
1740,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1741,0.0006,0.0007,0.0001,0.0003,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1742,0.1535,0.2441,0.0738,0.0617,0.1435,0.0674,0.0599,0.0020,0.0602,0.0019
1743,0.0001,0.0001,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000
1744,0.0019,0.0000,0.0000,0.0000,0.0000,0.0019,0.0000,0.0000,0.0000,0.0000
1745,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1746,0.0023,0.0031,0.0027,0.0016,0.0002,0.0023,0.0001,0.0022,0.0000,0.0002
